ts,x,y,z,w
1612301725.1905096,-0.0,-0.0,0.0,0.20000000298023224
1612301725.2406387,-0.0,-0.0,0.0,0.20000000298023224
1612301725.2907703,-0.0,-0.0,0.0,0.20000000298023224
1612301725.3409014,-0.0,-0.0,0.0,0.20000000298023224
1612301725.3909798,-0.0,-0.0,0.0,0.20000000298023224
1612301725.441112,-0.0,-0.0,0.0,0.20000000298023224
1612301725.4912393,-0.0,-0.0,0.0,0.20000000298023224
1612301725.5413885,-0.0,-0.0,0.0,0.20000000298023224
1612301725.591513,-0.0,-0.0,0.0,0.20000000298023224
1612301725.6415994,-0.0,-0.0,0.0,0.20000000298023224
1612301725.6917586,-0.0,-0.0,0.0,0.20000000298023224
1612301725.7418432,-0.0,-0.0,0.0,0.20000000298023224
1612301725.7919674,-0.0,-0.0,0.0,0.20000000298023224
1612301725.8420928,-0.0,-0.0,0.0,0.20000000298023224
1612301725.8922086,-0.0,-0.0,0.0,0.20000000298023224
1612301725.9423256,-0.0,-0.0,0.0,0.20000000298023224
1612301725.9924402,-0.0,-0.0,0.0,0.20000000298023224
1612301726.0425558,-0.0,-0.0,0.0,0.20000000298023224
1612301726.0926397,-0.0,-0.0,0.0,0.20000000298023224
1612301726.1427727,-0.0,-0.0,0.0,0.20000000298023224
1612301726.19289,-0.0,-0.0,0.0,0.20000000298023224
1612301726.242978,-0.0,-0.0,0.0,0.20000000298023224
1612301726.293092,-0.0,-0.0,0.0,0.20000000298023224
1612301726.343223,-0.0,-0.0,0.0,0.20000000298023224
1612301726.393356,-0.0,-0.0,0.0,0.20000000298023224
1612301726.4434788,-0.0,-0.0,0.0,0.20000000298023224
1612301726.4936051,-0.0,-0.0,0.0,0.20000000298023224
1612301726.5437272,-0.0,-0.0,0.0,0.20000000298023224
1612301726.5938122,-0.0,-0.0,0.0,0.20000000298023224
1612301726.6439447,-0.0,-0.0,0.0,0.20000000298023224
1612301726.6940687,-0.0,-0.0,0.0,0.20000000298023224
1612301726.7441876,-0.0,-0.0,0.0,0.20000000298023224
1612301726.7943125,-0.0,-0.0,0.0,0.20000000298023224
1612301726.8443973,-0.0,-0.0,0.0,0.20000000298023224
1612301726.8945098,-0.0,-0.0,0.0,0.20000000298023224
1612301726.9446242,-0.0,-0.0,0.0,0.20000000298023224
1612301726.9947472,-0.0,-0.0,0.0,0.20000000298023224
1612301727.0448587,-0.0,-0.0,0.0,0.20000000298023224
1612301727.0949757,-0.0,-0.0,0.0,0.20000000298023224
1612301727.1450567,-0.0,-0.0,0.0,0.20000000298023224
1612301727.1951377,-0.0,-0.0,0.0,0.20000000298023224
1612301727.245222,-0.0,-0.0,0.0,0.20000000298023224
1612301727.2953036,-0.0,-0.0,0.0,0.20000000298023224
1612301727.3453977,-0.0,-0.0,0.0,0.20000000298023224
1612301727.3954966,-0.0,-0.0,0.0,0.20000000298023224
1612301727.445585,-0.0,-0.0,0.0,0.20000000298023224
1612301727.4956684,-0.0,-0.0,0.0,0.20000000298023224
1612301727.5457494,-0.0,-0.0,0.0,0.20000000298023224
1612301727.5958679,-0.0,-0.0,0.0,0.20000000298023224
1612301727.6459763,-0.0,-0.0,0.0,0.20000000298023224
1612301727.6961002,-0.0,-0.0,0.0,0.20000000298023224
1612301727.7462316,-0.0,-0.0,0.0,0.20000000298023224
1612301727.796355,-0.0,-0.0,0.0,0.20000000298023224
1612301727.8464806,-0.0,-0.0,0.0,0.20000000298023224
1612301727.8966074,-0.0,-0.0,0.0,0.20000000298023224
1612301727.9467301,-0.0,-0.0,0.0,0.20000000298023224
1612301727.9968567,-0.0,-0.0,0.0,0.20000000298023224
1612301728.0469315,-0.0,-0.0,0.0,0.20000000298023224
1612301728.0970569,-0.0,-0.0,0.0,0.20000000298023224
1612301728.147162,-0.0,-0.0,0.0,0.20000000298023224
1612301728.1972404,-0.0,-0.0,0.0,0.20000000298023224
1612301728.2473679,-0.0,-0.0,0.0,0.20000000298023224
1612301728.2974455,-0.0,-0.0,0.0,0.20000000298023224
1612301728.3475742,-0.0,-0.0,0.0,0.20000000298023224
1612301728.3976917,-0.0,-0.0,0.0,0.20000000298023224
1612301728.4478176,-0.0,-0.0,0.0,0.20000000298023224
1612301728.4979398,-0.0,-0.0,0.0,0.20000000298023224
1612301728.5480704,-0.0,-0.0,0.0,0.20000000298023224
1612301728.5981894,-0.0,-0.0,0.0,0.20000000298023224
1612301728.6482708,-0.0,-0.0,0.0,0.20000000298023224
1612301728.6983979,-0.0,-0.0,0.0,0.20000000298023224
1612301728.7485294,-0.0,-0.0,0.0,0.20000000298023224
1612301728.798628,-0.0,-0.0,0.0,0.20000000298023224
1612301728.8487308,-0.0,-0.0,0.0,0.20000000298023224
1612301728.8988163,-0.0,-0.0,0.0,0.20000000298023224
1612301728.9489202,-0.0,-0.0,0.0,0.20000000298023224
1612301728.9989867,-0.0,-0.0,0.0,0.20000000298023224
1612301729.049093,-0.0,-0.0,0.0,0.20000000298023224
1612301729.0992217,-0.0,-0.0,0.0,0.20000000298023224
1612301729.1493247,-0.0,-0.0,0.0,0.20000000298023224
1612301729.1994395,-0.0,-0.0,0.0,0.20000000298023224
1612301729.249561,-0.0,-0.0,0.0,0.20000000298023224
1612301729.299645,-0.0,-0.0,0.0,0.20000000298023224
1612301729.349777,-0.0,-0.0,0.0,0.20000000298023224
1612301729.3998961,-0.0,-0.0,0.0,0.20000000298023224
1612301729.450029,-0.0,-0.0,0.0,0.20000000298023224
1612301729.500163,-0.0,-0.0,0.0,0.20000000298023224
1612301729.5502837,-0.0,-0.0,0.0,0.20000000298023224
